0install	github.com/0install/0install
decimal	github.com/yawaramin/ocaml-decimal
decoders	github.com/mattjbray/ocaml-decoders
decompress	github.com/mirage/decompress
dedukti	github.com/Deducteam/Dedukti
delimited_parsing	github.com/janestreet/delimited_parsing
depyt	github.com/samoht/depyt
deriving	github.com/ocsigen/deriving
dht	www.github.com/nojb/ocaml-dht
diet	github.com/mirage/ocaml-diet
digestif	github.com/mirage/digestif
directories	github.com/ocamlpro/directories
dirsift	github.com/darrenldl/dirsift
disml	gitlab.com/Mishio595/disml
dispatch	github.com/inhabitedtype/ocaml-dispatch
distributed	github.com/essdotteedot/distributed
distwit	github.com/let-def/distwit
diy	github.com/herd/herdtools7
dkim	github.com/dinosaure/ocaml-dkim
dlm	github.com/xapi-project/ocaml-dlm
dns	github.com/mirage/ocaml-dns
dns-forward	github.com/mirage/ocaml-dns-forward
dnssd	github.com/mirage/ocaml-osx-dnssd
docker-api	github.com/Chris00/ocaml-docker
dockerfile	github.com/avsm/ocaml-dockerfile
docteur	github.com/dinosaure/docteur
dog	github.com/samoht/dog
doi2bib	github.com/mseri/doi2bib
dokeysto	github.com/UnixJunkie/dokeysto
dolmen	github.com/Gbury/dolmen
dolog	github.com/UnixJunkie/dolog
domain-name	github.com/hannesm/domain-name
dotenv	github.com/thatportugueseguy/ocaml-dotenv
merlin	github.com/ocaml/merlin
down	erratique.ch/repos/down
DrawGrammar	github.com/jacquev6/DrawGrammar
dream	github.com/aantron/dream
drom	github.com/ocamlpro/drom
dropbox	github.com/Chris00/ocaml-dropbox
dryunit	github.com/gersonmoraes/dryunit
dsfo	github.com/rleonid/dsfo
dssi	github.com/savonet/ocaml-dssi
dtoa	github.com/flowtype/ocaml-dtoa
dtools	github.com/savonet/ocaml-dtools
dual	github.com/drjdn/ocaml_dual
duff	github.com/mirage/duff
dum	github.com/mjambon/dum
dumpast	github.com/samoht/ocaml-dumpast
dune	github.com/ocaml/dune
dune-deps	github.com/mjambon/dune-deps
dune-release	github.com/ocamllabs/dune-release
dune_watch	gitlab.com/camlspotter/dune_watch
duppy	github.com/savonet/ocaml-duppy
duration	github.com/hannesm/duration
earley	github.com/rlepigre/ocaml-earley
earley-ocaml	github.com/rlepigre/ocaml-earley-ocaml
earlybird	github.com/hackwaly/ocamlearlybird
easy-format	github.com/mjambon/easy-format
easy_logging	github.com/sapristi/easy_logging
easy_xlsx	github.com/brendanlong/ocaml-ooxml
ecaml	github.com/janestreet/ecaml
edn	github.com/prepor/ocaml-edn
eigen	github.com/owlbarn/eigen
either	github.com/mirage/either
elasticsearch-cli	github.com/cyborgize/es-cli
electrod	github.com/grayswandyr/electrod
electrumAnalyzer	github.com/grayswandyr/electrumAnalyzer
elina	github.com/eth-srl/ELINA
eliom	github.com/ocsigen/eliom
elpi	github.com/LPCIC/elpi
email_message	github.com/janestreet/email_message
embedded_ocaml_templates	github.com/EmileTrotignon/embedded_ocaml_templates
emile	github.com/dinosaure/emile
emoji	github.com/fxfactorial/ocaml-emoji
encore	github.com/mirage/encore
enumerate	github.com/janestreet/enumerate
enumerators	github.com/cryptosense/enumerators
eqaf	github.com/mirage/eqaf
erlang	github.com/AbstractMachinesLab/caramel
esgg	github.com/ahrefs/esgg
ethernet	github.com/mirage/ethernet
expect	github.com/gildor478/ocaml-expect
expect_test_helpers	github.com/janestreet/expect_test_helpers
expect_test_helpers_async	github.com/janestreet/expect_test_helpers_async
expect_test_helpers_core	github.com/janestreet/expect_test_helpers_core
expect_test_helpers_kernel	github.com/janestreet/expect_test_helpers_kernel
extunix	github.com/ygrek/extunix
ez_api	github.com/ocamlpro/ez_api
ez_cmdliner	github.com/ocamlpro/ez_cmdliner
ez_config	github.com/ocamlpro/ez_config
ez_file	github.com/ocamlpro/ez_file
ezgzip	github.com/hcarty/ezgzip
ez_hash	github.com/OcamlPro/ocaml-solidity
ezirmin	github.com/kayceesrk/ezirmin
ezjs_ace	github.com/ocamlpro/ezjs_ace
ezjs_blockies	github.com/ocamlpro/ezjs_blockies
ezjs_cleave	github.com/ocamlpro/ezjs_cleave
ezjs_crypto	github.com/ocamlpro/ezjs_crypto
ezjs_cytoscape	github.com/ocamlpro/ezjs_cytoscape
ezjs_d3pie	github.com/ocamlpro/ezjs_d3pie
ezjs_extension	github.com/ocamlpro/ezjs_extension
ezjs_fetch	github.com/ocamlpro/ezjs_fetch
ezjs_idb	github.com/ocamlpro/ezjs_idb
ezjs_jquery	github.com/ocamlpro/ezjs_jquery
ezjs_min	github.com/ocamlpro/ezjs_min
ezjs_odometer	github.com/ocamlpro/ezjs_odometer
ezjsonm	github.com/mirage/ezjsonm
ezjs_push	github.com/ocamlpro/ezjs_push
ezjs_qrcode	github.com/ocamlpro/ezjs_qrcode
ezjs_recaptcha	github.com/ocamlpro/ezjs_recaptcha
ezjs_timeline	github.com/ocamlpro/ezjs_timeline
ez_opam_file	github.com/ocamlpro/ez_opam_file
ez_pgocaml	github.com/ocamlpro/ez_pgocaml
ezresto	gitlab.com/nomadic-labs/resto
ezsqlite	github.com/zshipko/ocaml-ezsqlite
ez_subst	github.com/ocamlpro/ez_subst
ezxenstore	github.com/xapi-project/ezxenstore
ezxmlm	github.com/mirage/ezxmlm
faad	github.com/savonet/ocaml-faad
facebook-sdk	github.com/CREATe-centre/sociaml-facebook-api
facteur	github.com/dinosaure/facteur
fadbadml	github.com/fadbadml-dev/FADBADml
faraday	github.com/inhabitedtype/faraday
farfadet	github.com/oklm-wsh/Farfadet
fat-filesystem	github.com/mirage/ocaml-fat
fdkaac	github.com/savonet/ocaml-fdkaac
fd-send-recv	github.com/xapi-project/ocaml-fd-send-recv
feat	gitlab.inria.fr/fpottier/feat
febusy	gitlab.com/smondet/febusy
ff	gitlab.com/dannywillems/ocaml-ff
ffmpeg	github.com/savonet/ocaml-ffmpeg
fftw3	github.com/Chris00/fftw-ocaml
fiat-p256	github.com/mirage/fiat
fieldslib	github.com/janestreet/fieldslib
fileutils	github.com/gildor478/ocaml-fileutils
finch	github.com/roddyyaga/finch
findlib_top	github.com/janestreet/findlib_top
fix	gitlab.inria.fr/fpottier/fix
flac	github.com/savonet/ocaml-flac
flex-array	github.com/backtracking/flex-array
flock	github.com/simonjbeaumont/ocaml-flock
flow	github.com/facebook/flow
fluent-logger	github.com/komamitsu/fluent-logger-ocaml
fmlib	github.com/hbr/fmlib
fmt	erratique.ch/repos/fmt
fpath	erratique.ch/repos/fpath
frama-c-base	github.com/Frama-C/Frama-C-snapshot
frama-c-metacsl	git.frama-c.com/pub/meta
freetds	github.com/kennknowles/ocaml-freetds
frei0r	github.com/savonet/ocaml-frei0r
frenetic	github.com/frenetic-lang/frenetic
FrontC	github.com/BinaryAnalysisPlatform/FrontC
fsevents	github.com/mirage/ocaml-fsevents
fsml	github.com/jserot/fsml
fstreams	github.com/tel/ocaml-fstreams
functoria	github.com/mirage/functoria
funfields	github.com/fccm/ocaml-funfields
future	github.com/solvuu/future
gamepad	github.com/emillon/gamepad_of_ocaml
gammu	github.com/Chris00/ocaml-gammu
gapi-ocaml	github.com/astrada/gapi-ocaml
gappa	gitlab.inria.fr/gappa/gappa
gasoline	github.com/michipili/gasoline
gavl	github.com/savonet/ocaml-gavl
gd	github.com/savonet/gd4o
gdal	github.com/hcarty/ocaml-gdal
gdbprofiler	github.com/copy/gdbprofiler
gemini	github.com/struktured/ocaml-gemini
gen	github.com/c-cube/gen
gen-bs	github.com/0zat/gen-bs
General	github.com/jacquev6/General
gen_js_api	github.com/LexiFi/gen_js_api
genprint	github.com/progman1/genprintlib
genspio	github.com/hammerlab/genspio
genspir	github.com/UnixJunkie/genspir
gensqlite	github.com/j0sh/ocaml-gensqlite
getopts	github.com/michipili/getopts
gettext	github.com/gildor478/ocaml-gettext
github	github.com/mirage/ocaml-github
github-hooks	github.com/dsheets/ocaml-github-hooks
glfw-ocaml	github.com/SylvainBoilard/GLFW-OCaml
glical	github.com/pw374/glical
glMLite	github.com/fccm/glMLite
glpk	github.com/smimram/ocaml-glpk
gluten	github.com/anmonteiro/gluten
gmap	github.com/hannesm/gmap
gmp	github.com/mirage/ocaml-gmp
gnuplot	github.com/c-cube/ocaml-gnuplot
gobba	github.com/0x0f0f0f/gobba
gobject-introspection	github.com/cedlemo/OCaml-GObject-Introspection
goblint	github.com/goblint/analyzer
goblint-cil	github.com/goblint/cil/
google-drive-ocamlfuse	github.com/astrada/google-drive-ocamlfuse
gopcaml-mode	gitlab.com/gopiandcode/gopcaml-mode
gpr	github.com/mmottl/gpr
gpx	github.com/rundat/ocaml-gpx
gr	github.com/mseri/ocaml-gr
grain_wasm_spec	github.com/grain-lang/wasm-spec
graphics	github.com/ocaml/graphics
graphql	github.com/andreas/ocaml-graphql-server
graphql_ppx	github.com/reasonml-community/graphql-ppx
gremlin	github.com/bramford/ocaml-gremlin
grenier	github.com/let-def/grenier
gsl	github.com/mmottl/gsl-ocaml
gstreamer	github.com/savonet/ocaml-gstreamer
GT	github.com/JetBrains-Research/GT
GuaCaml	gitlab.com/boreal-ldd/guacaml
gufo	github.com/Piervit/gufo
h2	github.com/anmonteiro/ocaml-h2
hack_parallel	github.com/rvantonder/hack_parallel
hacl	gitlab.com/nomadic-labs/ocaml-hacl
hacl-star	github.com/project-everest/hacl-star
hacl_x25519	github.com/mirage/hacl
hamt	github.com/rgrinberg/ocaml-hamt
hardcaml	github.com/janestreet/hardcaml
hardcaml-affirm	github.com/ujamjar/hardcaml-affirm
hardcaml-bloop	github.com/ujamjar/hardcaml-bloop
hardcaml-examples	github.com/ujamjar/hardcaml-examples
hardcaml-framework	github.com/ujamjar/hardcaml-framework
hardcaml-llvmsim	github.com/ujamjar/hardcaml-llvmsim
hardcaml-reedsolomon	github.com/ujamjar/hardcaml-reedsolomon
hardcaml-vpi	github.com/ujamjar/hardcaml-vpi
hardcaml-waveterm	github.com/ujamjar/hardcaml-waveterm
hardcaml_waveterm	github.com/janestreet/hardcaml_waveterm
hardcaml-yosys	github.com/ujamjar/hardcaml-yosys
hashcons	github.com/backtracking/ocaml-hashcons
hashids	github.com/jacquev6/hashids-ocaml
hashset	github.com/UnixJunkie/hashset
haxe	github.com/HaxeFoundation/haxe
headache	github.com/Frama-C/headache
herelib	github.com/janestreet/herelib
hevea	github.com/maranget/hevea
hex	github.com/mirage/ocaml-hex
hidapi	github.com/vbmithr/ocaml-hidapi
higher	github.com/ocamllabs/higher
higher_kinded	github.com/janestreet/higher_kinded
higlo	github.com/zoggy/higlo
hiredis	github.com/zshipko/ocaml-hiredis
hkdf	github.com/hannesm/ocaml-hkdf
hlarp	github.com/hammerlab/hlarp
horned_worm	github.com/kkazuo/horned_worm
hts_shrink	github.com/UnixJunkie/hts_shrink
http2https	github.com/avsm/http2https
httpaf	github.com/inhabitedtype/httpaf
httpaf_caged	github.com/thedufer/httpaf_caged
http-cookie	github.com/lemaetech/http-cookie
http-multipart-formdata	github.com/lemaetech/http-mutlipart-formdata
huffman	github.com/jdrprod/huffman
humane-re	github.com/rgrinberg/humane-re
hvsock	github.com/mirage/ocaml-hvsock
hxd	github.com/dinosaure/hxd
i3ipc	github.com/Armael/ocaml-i3ipc
ibx	bitbucket.org/ogu/ibx
icalendar	github.com/roburio/icalendar
idd	github.com/netkat-lang/idd
idds	github.com/netkat-lang/idds
igvxml	github.com/hammerlab/igvxml
imagelib	github.com/rlepigre/ocaml-imagelib
imap	www.github.com/nojb/ocaml-imap
incr_dom	github.com/janestreet/incr_dom
incr_dom_interactive	github.com/janestreet/incr_dom_interactive
incr_dom_keyboard	github.com/janestreet/incr_dom_keyboard
incr_dom_partial_render	github.com/janestreet/incr_dom_partial_render
incr_dom_sexp_form	github.com/janestreet/incr_dom_sexp_form
incr_dom_widgets	github.com/janestreet/incr_dom_widgets
incremental	github.com/janestreet/incremental
incremental_kernel	github.com/janestreet/incremental_kernel
incr_map	github.com/janestreet/incr_map
incr_select	github.com/janestreet/incr_select
index	github.com/mirage/index
inferno	gitlab.inria.fr/fpottier/inferno
integers	github.com/ocamllabs/ocaml-integers
integers_stubs_js	github.com/o1-labs/integers_stubs_js
integration1d	github.com/Chris00/integration1d
interval	github.com/Chris00/ocaml-interval
interval-map	github.com/dgllghr/interval-map
inuit	github.com/let-def/inuit
io	github.com/rizo/flow
iocaml	github.com/andrewray/iocamlserver
iocamljs-kernel	github.com/andrewray/iocamljs
iocaml-kernel	github.com/andrewray/iocaml
io-page	github.com/mirage/io-page
ipaddr	github.com/mirage/ocaml-ipaddr
ipv6-multicast	github.com/vbmithr/ocaml-ipv6-multicast
iri	github.com/zoggy/ocaml-iri
irmin	github.com/mirage/irmin
irmin-indexeddb	github.com/talex5/irmin-indexeddb
irmin-watcher	github.com/mirage/irmin-watcher
irrlicht	github.com/fccm/OCaml-Irrlicht
iso639	github.com/paurkedal/ocaml-iso639
ISO8601	github.com/ocaml-community/ISO8601.ml
iter	github.com/c-cube/iter
jane-street-headers	github.com/janestreet/jane-street-headers
jane-street-tests	github.com/janestreet/jane-street-tests
javalib	github.com/javalib-team/javalib
javascriptcore	github.com/fxfactorial/ocaml-javascriptcore
jekyll-format	github.com/avsm/jekyll-format
jenga	github.com/janestreet/jenga
jerboa	github.com/StrykerKKD/Jerboa
jhupllib	github.com/JHU-PL-Lab/jhu-pl-lib
jingoo	github.com/tategakibunko/jingoo
jitsu	github.com/mirage/jitsu
jose	github.com/ulrikstrid/reason-jose
js-build-tools	github.com/janestreet/js-build-tools
JsOfOCairo	github.com/jacquev6/JsOfOCairo
js_of_ocaml	github.com/ocsigen/js_of_ocaml
js_of_ocaml-webgpu	github.com/tari3x/webgpu
json-data-encoding	gitlab.com/nomadic-labs/json-data-encoding
json_decoder	github.com/dagoof/ocaml-json-decoder
json-derivers	github.com/rgrinberg/json-derivers
